                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.61934,                0.93428,                0.41873,                 0.9465,                 0.9926,                0.99113,                 0.9943,                  0.893,                0.99046,                0.98893,                0.99376,                0.79615,                0.44741,                0.65372,                0.30404,                0.89583,               0.008878,               0.008878,               0.008878
                     36,                0.61747,                 0.9502,                0.42125,                0.94533,                0.98998,                0.99009,                0.99461,                0.89444,                0.98912,                0.99087,                0.99442,                0.79396,                 0.4642,                0.67195,                0.31484,                 0.9045,               0.008845,               0.008845,               0.008845
                     37,                0.61668,                0.93743,                0.41665,                 0.9412,                0.99086,                 0.9905,                0.99417,                0.89432,                0.99006,                0.98749,                0.99382,                0.79021,                 0.4388,                0.64695,                0.30034,                0.89166,               0.008812,               0.008812,               0.008812
                     38,                0.61743,                0.93986,                0.41496,                0.94795,                0.99053,                0.99048,                0.99445,                0.89902,                0.98989,                 0.9892,                0.99424,                0.79955,                0.44251,                 0.6421,                0.29638,                0.89211,               0.008779,               0.008779,               0.008779
                     39,                0.61411,                0.93996,                0.41162,                 0.9403,                0.99047,                0.98938,                0.99434,                0.90093,                0.98911,                0.98884,                0.99416,                0.79753,                0.44211,                0.62758,                0.30084,                0.89399,               0.008746,               0.008746,               0.008746
                     40,                0.60776,                 0.9322,                0.41092,                 0.9422,                0.99187,                 0.9897,                0.99455,                0.89906,                 0.9907,                0.98853,                0.99453,                0.79828,                0.44045,                0.62094,                0.29607,                0.89238,               0.008713,               0.008713,               0.008713
                     41,                0.60753,                0.91443,                0.40739,                0.93828,                 0.9878,                0.98912,                0.99437,                0.90208,                0.98644,                0.98953,                0.99437,                 0.8034,                 0.4437,                 0.6416,                 0.2973,                0.89242,                0.00868,                0.00868,                0.00868
                     42,                0.60554,                0.91851,                0.40751,                0.93831,                0.99268,                0.99067,                 0.9944,                0.90132,                0.99259,                0.99009,                0.99459,                0.80569,                 0.4321,                0.62373,                0.29388,                0.88631,               0.008647,               0.008647,               0.008647
                     43,                0.59478,                0.90261,                0.40186,                0.93375,                0.99357,                0.99099,                0.99448,                0.90409,                0.99201,                0.98943,                0.99431,                0.80693,                0.42858,                0.61644,                0.29282,                0.88785,               0.008614,               0.008614,               0.008614
                     44,                0.59863,                0.90701,                0.40215,                0.93687,                0.99037,                0.99223,                0.99458,                0.90146,                0.99098,                0.99087,                0.99439,                 0.8009,                0.43169,                0.63298,                0.28829,                0.88811,               0.008581,               0.008581,               0.008581
                     45,                0.59793,                0.91216,                0.40259,                0.93501,                0.99049,                0.99176,                0.99469,                0.90452,                0.99099,                0.98931,                0.99433,                0.80738,                0.42952,                0.60757,                0.29114,                0.88843,               0.008548,               0.008548,               0.008548
                     46,                0.58754,                0.89041,                0.39662,                0.93077,                0.99415,                0.99145,                0.99472,                0.90619,                 0.9926,                0.98989,                0.99454,                0.80903,                0.42812,                0.61928,                0.28969,                0.88437,               0.008515,               0.008515,               0.008515
                     47,                0.59592,                0.91688,                0.40078,                 0.9381,                0.98777,                0.99164,                0.99454,                0.90379,                0.98663,                0.99048,                0.99435,                0.80734,                0.42993,                0.61124,                0.28876,                0.89221,               0.008482,               0.008482,               0.008482
