                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                 0.5857,                0.94874,                0.38843,                  0.939,                 0.9891,                0.99367,                0.98822,                0.91849,                0.98901,                0.99358,                 0.9883,                0.84045,                0.37963,                0.53461,                0.24479,                 0.8468,              0.0088516,              0.0088516,              0.0088516
                     60,                0.58356,                0.94366,                0.38936,                 0.9366,                0.98882,                0.99363,                0.98811,                0.92164,                0.98918,                0.99416,                0.98833,                0.84369,                  0.378,                0.53199,                0.24333,                0.84599,              0.0088318,              0.0088318,              0.0088318
                     61,                0.57661,                0.93012,                0.38198,                 0.9331,                0.98945,                0.99345,                 0.9882,                0.92399,                0.98998,                0.99399,                0.98842,                0.84485,                0.37551,                0.53265,                0.24182,                 0.8446,               0.008812,               0.008812,               0.008812
                     62,                0.57988,                 0.9342,                0.38295,                0.93707,                0.98839,                0.99425,                0.98813,                0.92493,                0.98848,                0.99352,                0.98794,                0.84554,                0.37283,                0.52784,                 0.2394,                0.84395,              0.0087922,              0.0087922,              0.0087922
                     63,                0.57505,                0.93086,                0.38122,                0.93327,                0.98927,                0.99318,                0.98806,                0.92492,                0.98954,                0.99362,                0.98814,                0.84526,                0.37237,                0.52857,                0.23765,                0.84335,              0.0087724,              0.0087724,              0.0087724
                     64,                 0.5722,                0.91241,                0.37736,                0.92883,                0.98892,                0.99388,                0.98815,                 0.9249,                0.98894,                0.99443,                0.98815,                0.84572,                0.36877,                0.52578,                0.23659,                0.84225,              0.0087526,              0.0087526,              0.0087526
                     65,                 0.5741,                0.92541,                 0.3797,                0.92802,                0.98995,                0.99309,                0.98813,                0.92488,                0.98998,                0.99362,                0.98831,                0.84451,                0.36965,                0.52395,                0.23583,                0.84182,              0.0087328,              0.0087328,              0.0087328
                     66,                0.57224,                0.92885,                0.37824,                0.93096,                0.98927,                0.99363,                0.98811,                0.92524,                0.98936,                0.99365,                0.98813,                0.84539,                0.36823,                0.52353,                0.23499,                0.84081,               0.008713,               0.008713,               0.008713
                     67,                0.57467,                0.93303,                0.38075,                0.93298,                0.98916,                0.99363,                0.98789,                0.92646,                0.98952,                0.99372,                 0.9879,                0.84717,                0.36729,                0.52059,                0.23222,                0.84138,              0.0086932,              0.0086932,              0.0086932
                     68,                0.57616,                0.93453,                0.38045,                0.93511,                0.98934,                0.99381,                0.98809,                0.92777,                0.98916,                0.99363,                0.98765,                0.84862,                 0.3657,                0.51966,                0.23206,                0.83982,              0.0086734,              0.0086734,              0.0086734
                     69,                0.56734,                0.90925,                0.37593,                0.92804,                 0.9888,                0.99416,                  0.988,                0.92854,                0.98865,                0.99399,                 0.9876,                0.84831,                0.36482,                0.51982,                0.23291,                0.83846,              0.0086536,              0.0086536,              0.0086536
                     70,                0.56828,                0.90995,                0.37562,                0.92996,                0.98878,                0.99407,                0.98811,                0.92812,                0.98866,                  0.994,                0.98786,                0.84787,                0.36534,                0.51943,                0.23301,                0.83906,              0.0086338,              0.0086338,              0.0086338
                     71,                0.57399,                0.93651,                0.37778,                0.93073,                0.98907,                0.99399,                0.98822,                0.92601,                0.98925,                0.99416,                0.98811,                0.84778,                0.36602,                0.52016,                0.23209,                 0.8399,               0.008614,               0.008614,               0.008614
                     72,                0.56952,                0.91604,                0.37469,                 0.9295,                0.98937,                0.99408,                0.98819,                0.92616,                0.98919,                 0.9939,                0.98804,                0.84777,                0.36514,                0.51962,                0.23124,                 0.8392,              0.0085942,              0.0085942,              0.0085942
                     73,                0.56942,                0.92833,                0.37624,                 0.9318,                0.98912,                0.99416,                0.98819,                0.92625,                0.98902,                0.99422,                0.98822,                0.84834,                0.36397,                0.52025,                 0.2298,                0.83893,              0.0085744,              0.0085744,              0.0085744
                     74,                0.56937,                0.91645,                0.37516,                0.92947,                0.98937,                0.99399,                0.98817,                0.92693,                0.98955,                0.99417,                0.98842,                0.84873,                0.36181,                0.51917,                0.23033,                0.83786,              0.0085546,              0.0085546,              0.0085546
                     75,                0.56493,                 0.9117,                0.37336,                0.92669,                0.98879,                0.99443,                0.98812,                0.92804,                0.98928,                 0.9946,                0.98812,                0.84885,                0.36074,                0.51604,                0.23036,                0.83778,              0.0085348,              0.0085348,              0.0085348
                     76,                0.56289,                0.90654,                0.37204,                0.92713,                0.98898,                0.99381,                0.98794,                0.92782,                0.98954,                 0.9939,                0.98791,                0.84835,                0.36111,                0.51449,                0.22971,                0.83819,               0.008515,               0.008515,               0.008515
                     77,                0.56762,                0.91803,                0.37673,                0.92885,                0.98857,                0.99397,                0.98792,                0.92777,                0.98885,                0.99425,                  0.988,                0.84773,                0.36064,                0.51581,                0.22869,                0.83765,              0.0084952,              0.0084952,              0.0084952
                     78,                0.56607,                0.91523,                 0.3732,                0.92722,                0.98948,                0.99372,                0.98815,                0.92858,                0.98962,                0.99381,                0.98795,                0.84895,                0.35937,                 0.5115,                0.22746,                0.83784,              0.0084754,              0.0084754,              0.0084754
                     79,                0.56429,                0.91575,                  0.372,                0.92621,                 0.9894,                0.99354,                  0.988,                0.92986,                0.98972,                0.99345,                0.98784,                0.84946,                 0.3583,                 0.5118,                0.22692,                0.83774,              0.0084556,              0.0084556,              0.0084556
                     80,                0.56578,                0.91704,                0.37256,                0.92804,                0.98793,                0.99479,                0.98798,                0.92974,                0.98936,                0.99351,                0.98804,                0.85095,                0.35828,                0.51195,                0.22624,                0.83828,              0.0084358,              0.0084358,              0.0084358
                     81,                0.56469,                 0.9122,                0.37228,                0.92935,                 0.9895,                0.99354,                0.98807,                0.92939,                0.98984,                0.99345,                0.98795,                0.85068,                0.35838,                0.51266,                0.22523,                0.83822,               0.008416,               0.008416,               0.008416
                     82,                0.56314,                0.90438,                 0.3725,                0.92839,                0.98893,                0.99477,                0.98799,                0.92951,                0.98927,                0.99425,                0.98774,                0.85036,                0.35726,                0.51156,                0.22426,                0.83725,              0.0083962,              0.0083962,              0.0083962
                     83,                0.55816,                 0.9005,                0.36874,                0.92433,                0.98909,                0.99434,                  0.988,                0.92985,                0.98943,                0.99452,                 0.9878,                0.85081,                0.35613,                 0.5121,                 0.2238,                0.83702,              0.0083764,              0.0083764,              0.0083764
                     84,                 0.5575,                0.90138,                0.36771,                0.92409,                0.98986,                0.99407,                  0.988,                0.93031,                0.98999,                0.99438,                0.98792,                0.85118,                0.35541,                0.51143,                0.22257,                  0.837,              0.0083566,              0.0083566,              0.0083566
                     85,                0.55777,                 0.8942,                0.36542,                0.92284,                0.99025,                 0.9939,                0.98825,                0.93038,                0.99042,                0.99407,                0.98804,                0.85125,                0.35438,                0.50782,                0.22242,                0.83644,              0.0083368,              0.0083368,              0.0083368
                     86,                0.56079,                  0.911,                0.36903,                0.92748,                 0.9899,                0.99384,                0.98822,                0.93101,                0.99021,                 0.9939,                 0.9881,                0.85146,                0.35456,                  0.509,                0.22261,                0.83625,               0.008317,               0.008317,               0.008317
                     87,                0.56156,                0.91382,                0.37234,                 0.9264,                0.99019,                0.99381,                0.98805,                0.93089,                0.99049,                0.99407,                0.98785,                0.85121,                0.35429,                0.50969,                0.22185,                0.83593,              0.0082972,              0.0082972,              0.0082972
                     88,                0.55182,                0.88745,                0.36508,                0.92336,                0.98971,                0.99363,                0.98817,                0.93094,                0.99007,                0.99399,                0.98796,                0.85227,                0.35513,                0.50955,                0.22241,                0.83592,              0.0082774,              0.0082774,              0.0082774
                     89,                0.55691,                 0.9017,                0.36723,                0.92361,                0.98981,                0.99387,                0.98795,                0.93098,                0.99025,                0.99432,                0.98795,                0.85229,                0.35416,                0.51068,                0.22186,                0.83525,              0.0082576,              0.0082576,              0.0082576
                     90,                0.55792,                0.90949,                0.36848,                0.92587,                0.98949,                 0.9939,                0.98796,                0.93143,                0.98972,                0.99423,                0.98794,                0.85195,                0.35261,                0.50988,                0.22193,                0.83482,              0.0082378,              0.0082378,              0.0082378
                     91,                0.55703,                0.90528,                0.36486,                 0.9245,                0.98902,                0.99441,                0.98802,                0.93174,                0.98946,                0.99427,                0.98799,                0.85186,                0.35137,                0.50908,                0.22101,                0.83435,               0.008218,               0.008218,               0.008218
                     92,                0.55912,                0.90898,                0.36853,                 0.9282,                0.98937,                0.99423,                0.98805,                0.93179,                 0.9899,                0.99472,                0.98815,                0.85205,                0.35132,                0.50883,                0.22086,                0.83448,              0.0081982,              0.0081982,              0.0081982
                     93,                0.55295,                0.89914,                0.36389,                0.92309,                0.98911,                0.99457,                0.98818,                0.93285,                0.98964,                 0.9951,                0.98821,                0.85252,                  0.351,                0.50831,                0.21983,                0.83464,              0.0081784,              0.0081784,              0.0081784
